Result,Day,Player
5,2021-03-11,859
4,2021-05-19,522
4,2021-01-28,754
2,2020-08-08,97
4,2020-06-16,833
3,2021-01-06,980
3,2020-07-09,440
3,2021-01-16,648
3,2020-08-26,71
5,2020-09-20,459
3,2020-11-16,717
4,2020-06-23,462
4,2020-10-17,559
4,2021-02-02,341
1,2021-03-05,58
4,2020-09-24,285
3,2020-10-06,106
4,2021-02-07,269
4,2020-09-28,844
2,2021-04-14,754
5,2021-04-01,397
3,2020-12-01,636
4,2020-09-14,890
3,2020-10-10,830
3,2020-10-12,934
6,2020-06-14,547
4,2020-06-06,826
2,2020-11-30,792
1,2020-09-25,741
4,2020-10-07,64
4,2020-12-23,140
3,2021-04-23,934
2,2020-12-27,646
1,2021-04-27,610
4,2021-03-01,63
2,2020-09-25,216
2,2020-08-23,903
3,2020-07-11,215
4,2020-05-27,882
2,2021-05-01,259
3,2021-02-03,10
3,2021-03-08,879
3,2020-07-04,105
4,2021-05-24,890
5,2020-10-08,158
6,2020-12-19,383
2,2020-06-11,437
2,2020-11-14,101
5,2020-11-16,240
2,2020-11-15,751
3,2020-06-05,166
2,2020-08-04,87
2,2020-08-11,46
6,2020-08-18,460
3,2021-04-22,231
4,2020-11-26,801
3,2021-04-17,552
2,2020-11-02,340
2,2020-08-05,137
4,2021-02-03,362
3,2020-05-30,971
5,2020-09-09,161
4,2021-01-21,848
5,2020-10-28,318
4,2020-08-19,868
3,2020-07-30,324
3,2020-12-08,844
4,2021-03-24,13
6,2020-09-01,34
3,2020-11-12,495
2,2020-08-12,223
3,2020-06-25,85
3,2020-08-08,906
3,2020-11-19,64
1,2021-02-27,722
3,2020-07-29,679
5,2020-10-19,199
1,2020-09-04,476
6,2020-08-23,853
5,2020-12-09,97
3,2020-08-07,131
3,2020-12-28,189
3,2021-04-26,790
3,2020-08-03,613
4,2020-07-28,631
2,2021-02-08,925
4,2021-04-23,812
5,2020-09-22,162
3,2021-03-20,550
5,2021-04-02,717
4,2020-09-12,176
5,2021-02-12,55
3,2021-03-20,421
5,2020-09-28,209
5,2020-10-24,742
3,2020-09-16,908
2,2021-05-22,661
5,2021-03-08,557
3,2020-10-13,769
2,2020-10-20,57
3,2021-03-20,660
5,2020-06-15,72
6,2020-06-22,24
1,2020-08-09,958
6,2021-04-27,848
6,2020-08-28,733
2,2020-06-24,839
4,2020-07-11,144
6,2020-09-29,547
4,2020-09-10,812
5,2021-03-17,42
3,2020-11-01,764
3,2021-02-12,620
4,2021-03-14,162
4,2020-08-14,891
3,2020-07-24,801
2,2020-11-23,772
3,2020-08-17,193
