"RESULT","DAY","ID"
4,20/07/05,188
6,21/01/05,230
3,20/08/18,253
3,21/04/24,577
6,20/06/04,971
4,20/07/22,547
4,20/07/09,498
3,21/02/16,541
5,21/03/31,72
4,21/05/16,513
6,21/03/22,498
2,20/06/22,288
4,20/07/11,144
5,21/01/05,344
4,20/05/27,21
5,21/02/08,341
5,20/10/24,934
6,20/08/20,533
3,20/06/16,145
4,21/01/17,754
4,21/01/17,844
6,20/06/02,588
5,20/11/25,341
4,21/02/05,848
6,20/08/27,825
6,21/03/18,234
6,21/04/11,848
4,20/11/26,735
2,21/02/17,392
2,21/03/09,539
4,20/09/02,879
4,21/03/19,914
3,20/12/01,976
3,20/06/07,344
5,20/12/22,737
4,20/08/11,92
4,20/07/09,222
4,21/03/07,916
6,21/05/13,489
3,21/03/05,754
4,20/07/24,221
4,20/06/15,299
5,20/09/28,943
3,20/09/11,222
2,21/03/03,142
6,20/08/20,737
5,20/08/09,269
4,20/10/15,285
4,20/06/09,165
5,21/04/20,436
2,20/06/05,487
5,21/04/21,871
2,21/05/17,42
4,20/08/04,165
5,20/07/25,356
5,20/12/13,943
4,20/12/22,340
5,20/07/16,521
3,20/05/26,223
3,21/05/11,754
5,21/04/18,397
6,21/01/28,161
6,20/10/29,890
4,21/05/14,42
5,21/05/19,941
4,20/05/29,844
6,21/03/11,669
4,21/02/04,230
4,21/01/18,159
4,21/02/06,826
4,20/10/23,284
3,21/04/21,145
2,21/05/14,166
4,20/11/10,97
5,21/03/31,440
5,21/04/27,221
4,21/04/08,42
4,21/04/20,57
4,21/01/10,344
5,21/04/26,250
4,20/10/18,288
3,20/08/23,440
2,20/08/31,848
5,21/01/02,943
5,20/10/17,487
2,21/02/08,46
4,20/11/26,943
5,21/03/20,489
3,20/09/18,21
3,20/11/13,188
2,21/04/27,222
6,20/08/10,914
3,20/09/11,588
5,20/10/19,648
3,20/10/18,62
4,21/04/13,340
5,20/08/28,216
3,21/01/13,92
6,21/04/02,231
4,20/06/18,392
5,20/09/21,934
2,20/12/06,62
3,20/07/01,92
6,20/12/04,145
4,21/03/31,679
5,21/05/12,546
6,20/08/03,222
2,20/09/25,511
4,21/04/11,367
3,20/06/19,588
3,20/10/28,24
4,21/02/26,521
4,20/10/11,142
6,21/05/05,46
4,21/03/18,223
3,20/10/20,72
3,21/03/04,166
4,21/03/06,162
2,20/07/29,159
4,21/03/20,341
4,20/08/06,826
6,20/09/05,382
3,20/09/29,801
4,21/03/31,979
4,21/01/06,801
3,20/06/27,221
6,20/06/16,34
3,20/09/07,92
4,21/05/19,908
5,20/06/20,367
3,20/08/25,735
2,20/08/04,848
5,21/04/08,428
4,21/04/22,541
3,20/06/11,292
3,20/07/15,801
6,20/09/01,162
3,21/05/03,92
3,20/11/05,887
4,20/11/30,97
6,20/07/02,742
3,21/04/23,511
5,20/09/03,541
5,20/08/21,890
4,21/05/24,825
5,20/12/06,879
5,21/04/23,155
5,20/11/04,941
4,20/07/05,890
6,21/01/23,144
5,20/12/11,742
3,21/02/19,240
4,21/04/17,397
3,21/05/14,234
5,21/05/04,240
3,21/04/05,63
2,21/05/11,231
2,20/10/29,825
3,21/05/08,440
3,20/09/05,539
4,20/12/13,106
5,21/03/20,498
5,21/01/24,137
4,21/02/11,489
3,20/08/23,221
4,20/12/02,679
4,21/03/31,754
5,20/10/08,754
5,20/12/20,737
5,21/04/26,223
5,20/08/31,223
6,21/02/23,533
2,21/04/18,24
3,20/12/29,906
3,20/09/08,92
3,20/05/26,914
5,20/11/12,299
4,20/09/11,159
3,21/01/28,440
6,20/11/03,906
3,20/06/13,848
3,20/10/06,231
4,21/04/16,34
4,20/07/08,181
3,21/05/02,230
3,20/10/07,700
3,20/12/13,511
5,20/07/07,908
4,20/06/02,155
5,20/10/15,34
5,20/06/06,887
5,20/10/11,344
6,20/12/22,916
6,20/05/26,669
4,20/07/25,893
3,21/04/10,541
3,20/10/04,914
6,20/08/11,42
6,20/06/04,795
4,20/07/06,397
4,21/02/16,85
5,20/12/02,253
4,20/12/24,941
5,20/11/12,221
4,21/01/04,240
3,21/02/01,288
3,20/09/05,979
6,21/04/05,690
4,20/12/06,382
4,21/02/21,165
4,21/05/14,362
2,20/06/26,221
5,21/01/19,288
3,21/02/12,489
5,20/09/15,250
3,20/12/14,253
6,20/08/25,46
4,20/11/06,155
5,21/03/21,344
4,20/10/06,161
5,21/04/15,285
3,20/07/14,588
2,20/10/20,893
4,20/05/25,188
3,20/10/07,489
2,20/12/17,487
5,20/06/12,356
4,20/11/10,209
6,20/10/12,145
4,21/04/29,362
5,20/08/17,106
2,20/09/19,489
5,20/06/14,216
4,20/12/20,42
4,20/10/11,522
5,20/12/16,240
4,20/07/07,554
5,21/04/26,72
6,20/09/27,848
6,20/12/10,137
4,21/01/11,57
5,20/11/07,825
2,21/01/06,288
3,21/04/22,891
3,21/05/22,253
3,21/05/09,72
5,21/01/07,871
2,20/11/13,546
5,20/12/21,620
5,21/05/09,554
4,20/06/13,735
5,21/05/20,546
5,21/01/23,487
4,20/12/06,513
3,20/12/10,489
3,20/12/31,511
4,21/02/06,825
2,20/06/16,547
3,20/12/24,944
4,21/01/07,145
5,21/03/20,106
5,20/07/26,269
4,20/09/23,914
6,21/04/11,436
5,21/03/31,85
5,20/10/23,216
3,20/12/27,231
5,20/11/27,908
3,20/09/27,891
6,20/11/20,356
4,20/07/16,934
5,20/11/07,906
4,21/03/21,721
4,20/05/31,844
3,20/11/19,547
5,20/12/25,871
2,20/10/30,231
3,20/05/29,292
4,20/10/02,943
3,21/02/06,742
4,20/09/17,742
5,20/08/12,848
4,21/02/28,812
4,21/05/18,746
5,20/10/30,976
5,20/10/22,284
5,20/11/17,483
4,21/04/21,891
2,20/07/09,721
6,21/03/23,554
4,21/04/15,844
3,20/11/30,356
4,21/04/29,844
3,21/04/24,34
6,21/05/14,442
3,20/06/23,97
4,20/11/28,230
3,21/04/02,513
3,21/01/22,879
4,20/09/26,754
5,20/06/20,382
5,20/12/03,106
5,20/11/07,344
3,21/02/02,539
3,20/12/23,934
2,20/05/25,879
3,21/01/27,487
4,21/03/04,882
4,20/06/09,944
6,20/09/04,541
6,20/08/06,269
3,20/09/29,21
5,20/08/10,221
5,20/10/03,559
4,21/01/11,826
4,20/06/27,230
4,20/08/14,908
4,21/02/06,155
4,20/11/10,356
2,20/06/19,24
4,21/01/27,742
4,20/06/18,679
3,20/08/01,546
2,20/07/08,826
3,21/01/20,891
6,20/08/21,934
3,20/06/09,40
4,20/12/24,648
3,20/10/08,62
2,20/06/11,285
4,20/08/23,620
5,21/04/27,539
3,20/06/25,92
5,20/10/08,916
4,20/06/24,483
3,21/02/23,718
5,20/12/29,155
5,21/03/01,489
4,20/08/16,868
3,20/11/22,511
4,20/08/28,57
4,20/12/21,489
5,20/09/12,362
4,21/02/14,606
6,21/03/19,690
4,21/04/20,801
4,20/07/31,620
4,21/02/24,285
3,20/07/16,879
6,20/11/03,848
4,20/08/07,868
5,21/01/29,367
5,21/02/26,367
6,21/04/05,13
2,20/08/03,472
4,20/11/20,826
5,20/06/05,34
4,21/01/10,442
2,21/01/29,648
4,21/03/04,754
4,20/10/08,606
4,20/10/26,472
5,21/04/16,511
4,20/11/19,489
4,20/12/24,559
4,20/11/14,40
3,21/01/14,40
4,20/06/02,428
4,20/12/19,882
5,20/08/24,868
5,20/11/25,976
2,20/09/18,161
5,20/10/02,844
4,21/05/19,522
4,21/01/28,754
2,20/08/08,97
3,20/07/09,440
3,21/01/16,648
3,20/11/16,717
4,20/10/17,559
4,21/02/02,341
4,20/09/24,285
3,20/10/06,106
4,21/02/07,269
4,20/09/28,844
2,21/04/14,754
5,21/04/01,397
4,20/09/14,890
3,20/10/12,934
6,20/06/14,547
4,20/06/06,826
3,21/04/23,934
4,21/03/01,63
2,20/09/25,216
4,20/05/27,882
3,21/03/08,879
4,21/05/24,890
6,20/12/19,383
5,20/11/16,240
3,20/06/05,166
2,20/08/11,46
3,21/04/22,231
4,20/11/26,801
2,20/11/02,340
2,20/08/05,137
4,21/02/03,362
3,20/05/30,971
5,20/09/09,161
4,21/01/21,848
4,20/08/19,868
3,20/07/30,324
3,20/12/08,844
4,21/03/24,13
6,20/09/01,34
2,20/08/12,223
3,20/06/25,85
3,20/08/08,906
3,20/07/29,679
5,20/12/09,97
