"RESULT","ID","TIMES_PLAYED"
2,13,5
3,13,5
4,13,5
5,13,5
6,13,5
2,21,5
3,21,5
4,21,5
5,21,5
6,21,5
2,24,5
3,24,5
4,24,5
5,24,5
6,24,5
2,34,5
3,34,5
4,34,5
5,34,5
6,34,5
2,40,5
3,40,5
4,40,5
5,40,5
6,40,5
2,42,5
3,42,5
4,42,5
5,42,5
6,42,5
2,46,5
3,46,5
4,46,5
5,46,5
6,46,5
2,57,5
3,57,5
4,57,5
5,57,5
6,57,5
2,62,5
3,62,5
4,62,5
5,62,5
6,62,5
2,63,5
3,63,5
4,63,5
5,63,5
6,63,5
2,72,5
3,72,5
4,72,5
5,72,5
6,72,5
2,85,5
3,85,5
4,85,5
5,85,5
6,85,5
2,92,5
3,92,5
4,92,5
5,92,5
6,92,5
2,97,5
3,97,5
4,97,5
5,97,5
6,97,5
2,106,5
3,106,5
4,106,5
5,106,5
6,106,5
2,137,5
3,137,5
4,137,5
5,137,5
6,137,5
2,142,5
3,142,5
4,142,5
5,142,5
6,142,5
2,144,5
3,144,5
4,144,5
5,144,5
6,144,5
2,145,5
3,145,5
4,145,5
5,145,5
6,145,5
2,155,5
3,155,5
4,155,5
5,155,5
6,155,5
2,159,5
3,159,5
4,159,5
5,159,5
6,159,5
2,161,5
3,161,5
4,161,5
5,161,5
6,161,5
2,162,5
3,162,5
4,162,5
5,162,5
6,162,5
2,165,5
3,165,5
4,165,5
5,165,5
6,165,5
2,166,5
3,166,5
4,166,5
5,166,5
6,166,5
2,181,5
3,181,5
4,181,5
5,181,5
6,181,5
2,188,5
3,188,5
4,188,5
5,188,5
6,188,5
2,209,5
3,209,5
4,209,5
5,209,5
6,209,5
2,216,5
3,216,5
4,216,5
5,216,5
6,216,5
2,221,5
3,221,5
4,221,5
5,221,5
6,221,5
2,222,5
3,222,5
4,222,5
5,222,5
6,222,5
2,223,5
3,223,5
4,223,5
5,223,5
6,223,5
2,230,5
3,230,5
4,230,5
5,230,5
6,230,5
2,231,5
3,231,5
4,231,5
5,231,5
6,231,5
2,234,5
3,234,5
4,234,5
5,234,5
6,234,5
2,240,5
3,240,5
4,240,5
5,240,5
6,240,5
2,250,5
3,250,5
4,250,5
5,250,5
6,250,5
2,253,5
3,253,5
4,253,5
5,253,5
6,253,5
2,269,5
3,269,5
4,269,5
5,269,5
6,269,5
2,284,5
3,284,5
4,284,5
5,284,5
6,284,5
2,285,5
3,285,5
4,285,5
5,285,5
6,285,5
2,288,5
