"DAY","DAILY_GAMES"
21/05/10,13
21/02/08,11
21/05/01,21
21/02/19,8
20/12/25,10
21/05/19,16
21/03/18,9
21/04/27,19
21/03/28,13
20/08/01,5
20/12/08,9
20/06/10,10
21/02/18,11
21/03/05,11
20/07/12,4
20/12/12,11
21/02/03,9
21/04/15,13
21/05/05,15
21/03/13,10
21/02/25,10
20/12/05,9
21/02/07,12
20/09/04,3
20/08/12,7
21/02/17,12
21/01/28,6
20/11/04,7
21/03/07,11
20/07/21,7
20/07/27,5
20/07/13,2
21/03/14,5
20/11/05,3
20/11/28,8
20/09/27,6
21/04/19,10
20/09/13,3
20/05/30,7
20/11/09,2
21/04/16,13
20/12/02,7
20/08/27,5
21/03/23,11
20/10/21,9
21/01/10,2
20/11/19,5
20/07/05,3
20/12/29,6
20/05/28,6
21/05/21,19
20/10/11,8
21/02/11,7
20/11/10,3
20/08/16,8
21/05/04,15
20/10/09,8
20/09/01,3
20/09/09,7
20/06/16,7
21/03/15,5
20/06/26,7
20/12/31,9
21/05/09,12
21/03/16,8
21/04/14,15
20/10/30,9
21/03/11,9
21/03/20,11
20/05/31,8
21/05/24,11
20/07/31,6
20/06/02,10
20/09/21,4
20/10/15,7
20/10/01,5
21/02/04,9
20/06/06,10
21/04/26,17
20/11/27,8
20/08/14,7
20/08/17,7
21/05/20,14
21/05/15,16
20/11/25,6
20/11/06,7
20/11/24,8
20/06/05,8
20/08/15,6
20/10/14,6
21/02/21,11
20/12/26,9
20/08/22,11
21/01/27,6
21/03/10,10
20/09/26,5
20/06/29,6
20/08/06,6
20/09/20,2
20/07/18,3
20/07/23,8
20/08/19,7
21/01/04,3
21/02/22,10
21/02/16,15
21/02/01,6
21/03/03,11
20/12/06,12
20/05/29,7
20/12/28,8
21/04/03,11
20/11/14,3
20/07/24,7
21/03/25,13
20/06/17,10
20/11/29,8
20/08/29,7
20/07/26,6
21/04/22,14
21/02/13,8
20/10/19,12
21/02/23,12
20/10/16,7
21/05/08,20
20/11/21,5
20/08/26,5
20/10/26,9
20/09/05,6
21/02/20,15
21/01/21,2
20/10/18,11
20/10/06,9
20/10/31,8
20/10/24,9
21/01/19,1
20/12/10,7
20/06/14,10
21/04/01,9
20/12/22,9
21/03/12,6
21/01/24,2
21/02/05,4
20/07/16,5
20/12/17,7
20/07/09,3
21/01/23,4
21/04/28,20
20/08/09,9
21/03/06,14
21/04/13,17
21/05/03,20
21/05/14,17
20/08/03,7
20/07/15,6
21/01/09,6
21/01/20,6
20/12/09,11
21/03/31,9
20/10/27,3
20/05/26,10
20/06/24,2
20/05/25,8
21/05/17,15
21/04/05,14
20/11/17,4
20/08/21,6
20/12/14,11
20/07/28,8
20/06/25,3
20/08/02,5
21/04/07,12
20/10/08,4
21/01/17,3
20/07/20,4
21/02/26,11
21/02/28,13
21/03/24,10
20/10/25,7
21/02/24,11
21/03/09,8
21/01/18,3
20/11/16,3
20/08/31,2
20/06/19,5
20/09/07,2
21/01/01,4
20/07/14,2
21/04/30,19
20/06/22,9
21/04/24,19
20/06/13,10
20/07/08,5
20/08/25,7
21/03/27,11
20/10/20,7
20/09/28,8
20/09/11,4
21/04/23,17
21/04/25,14
20/09/30,10
21/01/14,5
20/06/28,6
21/01/25,6
21/02/12,9
20/06/09,11
20/05/27,10
20/11/22,4
21/01/08,6
20/12/15,9
21/03/01,7
20/10/13,11
20/08/10,11
21/04/21,11
20/10/02,5
21/01/12,5
20/09/12,2
21/04/18,18
20/12/07,6
20/06/23,5
21/01/15,9
20/07/04,5
20/09/23,6
20/08/24,10
21/03/02,4
20/09/22,6
21/04/04,8
21/02/27,14
20/12/11,8
21/04/08,12
20/10/29,6
20/09/15,3
21/03/30,13
21/02/09,15
20/11/20,5
20/07/17,2
20/08/18,8
20/07/01,3
20/10/03,5
20/08/08,10
21/01/02,8
20/11/08,2
21/04/10,14
20/12/16,6
21/03/19,9
21/05/16,20
21/01/03,2
20/12/13,15
20/12/19,11
20/12/23,6
20/06/15,9
20/09/29,6
20/12/03,10
20/08/04,8
21/05/23,20
21/04/06,16
20/08/11,9
20/06/18,6
20/12/21,10
20/10/23,9
20/08/30,4
21/04/29,20
20/10/17,8
21/01/31,8
20/10/12,13
21/01/07,7
20/11/12,3
20/10/10,9
20/08/20,7
20/08/13,8
21/03/08,7
20/12/04,8
20/09/02,5
20/09/17,7
21/03/29,10
20/11/07,4
20/09/03,6
20/07/29,9
20/08/05,10
20/06/12,6
21/01/05,7
20/11/18,6
20/07/19,2
20/06/08,10
20/09/25,4
20/11/15,2
20/09/14,2
20/07/03,4
21/05/12,18
21/05/22,18
20/11/23,5
20/06/03,8
21/04/20,20
21/03/26,10
20/11/02,3
21/04/17,19
20/06/04,9
21/04/12,16
20/06/11,10
21/05/02,16
21/01/16,5
20/08/07,12
21/05/11,13
20/12/20,12
21/01/13,5
20/06/21,10
20/06/07,9
20/11/03,4
20/10/28,4
21/04/11,14
20/11/13,7
20/06/27,6
20/10/07,10
20/08/23,8
21/02/10,9
21/01/22,4
20/07/25,6
20/12/18,7
20/07/02,5
21/01/29,5
21/03/22,10
21/01/06,6
21/02/02,9
20/12/27,7
21/01/11,3
20/09/18,1
20/07/11,2
21/02/14,11
20/12/30,8
21/02/15,11
20/12/01,4
20/06/01,8
21/05/07,14
20/06/20,10
20/07/30,5
20/10/22,10
20/08/28,9
20/11/01,6
21/01/30,6
20/09/19,2
21/05/06,18
21/04/09,14
20/07/07,3
21/03/04,12
21/03/17,8
21/05/13,17
20/07/22,4
21/05/18,20
21/03/21,8
20/09/16,2
20/10/04,6
21/01/26,5
20/11/11,7
20/09/06,3
20/06/30,3
20/11/30,4
21/02/06,11
21/04/02,14
20/09/10,4
20/10/05,10
20/12/24,5
20/09/24,5
20/11/26,8
