"DAY","ID","AGE","RESULT"
21/04/30,284,24,0
20/12/21,430,72,5
20/05/28,699,45,9
21/04/01,536,51,2
20/10/31,349,68,1
20/12/26,129,62,8
20/07/03,971,24,3
20/06/22,126,38,3
21/04/04,869,74,2
21/03/01,270,78,1
21/04/24,715,72,5
21/02/14,576,41,6
21/05/10,729,34,0
21/05/12,277,43,3
21/05/19,459,63,4
20/12/30,285,18,8
21/02/06,650,50,4
20/08/31,297,70,8
20/12/04,602,70,2
21/04/28,705,27,6
21/04/06,856,72,9
21/04/24,721,21,2
20/07/23,563,40,2
21/02/15,982,36,9
20/08/09,377,42,5
21/04/17,630,55,2
20/10/11,953,75,5
20/09/25,913,65,6
21/02/10,969,54,6
21/02/23,510,73,4
20/08/19,882,22,6
21/05/09,840,73,8
20/12/01,891,20,4
21/02/09,830,64,2
21/03/03,355,76,1
20/12/24,297,70,1
21/05/21,848,23,2
21/02/08,155,19,0
21/02/03,18,79,3
21/01/08,370,57,1
20/09/07,990,55,9
20/06/13,508,40,8
21/03/18,575,50,3
20/06/01,887,23,3
21/01/21,416,76,6
21/05/07,209,19,0
21/02/16,462,69,2
20/10/11,631,49,5
21/04/10,638,45,3
20/12/16,631,49,7
21/05/05,949,67,4
20/06/23,778,60,8
21/05/04,477,61,6
21/02/11,785,20,5
21/05/01,432,21,6
20/10/27,853,66,2
21/03/16,780,57,0
21/05/21,895,30,5
21/05/10,113,40,3
21/01/28,634,58,5
20/08/22,476,53,5
21/05/22,648,24,5
21/01/04,559,23,7
20/11/25,817,64,9
21/03/31,467,51,9
20/11/10,387,40,1
21/02/12,535,50,6
20/08/16,62,22,2
21/03/06,287,27,0
20/08/11,869,74,1
21/03/19,1,34,4
21/05/16,825,20,5
20/07/08,80,26,4
21/05/04,665,36,5
21/04/17,767,79,1
20/10/09,8,42,8
21/04/13,425,37,3
20/09/01,80,26,7
20/11/23,175,37,7
20/06/05,405,55,8
20/12/16,191,64,2
21/05/03,596,31,3
20/09/09,171,37,0
20/12/07,719,76,6
21/02/14,691,52,8
20/08/25,955,27,4
20/06/03,718,23,8
20/07/24,788,69,5
21/01/05,738,71,3
20/06/16,255,43,0
20/06/20,216,24,6
21/03/29,415,68,1
21/01/03,472,20,1
20/05/29,993,56,8
21/03/15,285,18,9
21/03/27,891,20,5
21/04/28,155,19,6
20/06/22,829,31,2
21/02/19,431,49,5
20/12/20,525,77,0
20/09/01,40,18,8
20/12/25,216,24,7
21/04/20,388,33,6
21/02/22,983,31,9
21/02/02,856,72,4
21/04/21,654,75,2
21/05/19,943,18,5
20/12/13,219,29,1
21/05/12,6,58,8
21/05/14,497,64,4
21/02/16,782,27,1
21/02/10,404,59,5
20/06/26,704,32,7
21/02/16,106,20,9
21/04/10,682,75,1
21/04/06,926,76,8
21/02/01,180,27,9
20/08/14,7,76,3
21/03/05,806,52,4
21/05/19,142,20,6
20/07/30,674,30,3
21/05/14,665,36,1
20/10/11,879,19,0
21/05/14,640,27,4
21/02/15,577,21,2
21/01/30,619,64,5
21/05/01,450,46,9
21/05/10,911,67,2
20/06/19,804,73,1
20/12/19,242,40,0
20/09/28,750,52,5
20/12/07,696,51,4
21/04/04,263,72,3
20/10/20,189,35,5
20/10/15,786,60,9
20/10/20,655,49,6
20/11/12,859,53,6
20/08/03,578,42,1
20/12/17,666,54,3
21/03/03,306,36,2
20/12/19,995,59,5
21/01/11,995,59,5
20/12/06,382,22,9
20/07/15,595,30,6
21/03/18,262,49,0
20/05/29,493,25,7
21/01/13,915,66,8
20/11/05,260,58,4
20/08/12,354,54,8
21/02/07,28,66,8
21/04/13,146,31,9
21/05/14,690,24,9
21/03/15,450,46,5
21/03/04,691,52,9
20/12/23,700,19,0
21/05/18,130,62,5
20/07/03,14,75,0
20/10/24,268,59,0
20/08/20,589,57,7
20/11/23,900,36,6
21/04/25,564,53,8
20/12/28,997,48,6
21/03/14,764,76,6
21/01/09,262,49,1
21/01/20,22,39,1
21/04/27,621,54,0
20/12/31,984,29,9
21/04/03,24,24,6
20/09/28,253,18,3
21/05/07,4,46,2
21/05/01,385,69,8
21/03/26,457,44,5
20/10/02,217,78,8
20/06/15,308,49,7
21/04/21,715,72,7
20/10/22,255,43,3
20/09/11,941,21,1
20/11/14,64,27,5
20/09/28,142,20,3
20/08/11,458,63,7
21/04/23,675,39,5
21/05/22,947,75,6
20/10/25,208,59,7
21/05/09,113,40,3
20/10/15,647,66,2
21/05/04,950,66,8
21/04/25,844,21,0
20/07/24,866,29,9
21/03/03,352,42,0
21/03/23,10,61,3
20/05/29,341,22,8
21/02/28,467,51,8
21/04/20,56,25,8
20/09/30,212,37,7
20/12/30,523,33,0
21/04/20,518,74,8
20/09/29,671,31,6
20/06/02,626,73,6
21/03/25,632,27,7
21/03/16,483,19,9
20/08/06,738,71,0
21/02/26,93,52,2
20/12/16,40,18,5
20/12/04,177,59,7
21/05/19,30,74,9
21/03/03,366,61,0
21/04/08,807,68,7
21/03/08,103,75,2
20/10/08,0,60,1
20/09/05,780,57,2
20/11/21,969,54,2
21/02/05,115,72,7
20/08/11,653,53,8
20/07/28,870,51,7
21/02/07,323,57,8
21/01/24,28,66,9
21/05/16,568,34,7
21/01/14,464,37,5
20/12/01,519,70,8
21/04/23,773,70,4
20/08/26,745,78,2
20/11/02,24,24,0
20/12/09,920,37,3
20/08/28,169,42,7
20/07/09,233,74,7
21/04/29,877,72,8
20/11/10,809,70,0
20/10/15,947,75,3
21/05/04,537,32,9
20/06/28,326,44,3
21/04/26,480,77,3
21/04/14,815,65,4
21/04/17,117,41,7
20/06/04,425,37,3
20/08/28,841,77,4
21/01/25,529,34,5
21/04/14,532,48,1
20/08/13,266,77,9
21/04/06,548,70,8
20/11/29,412,55,6
21/04/27,332,27,1
20/12/15,764,76,0
20/12/15,445,50,8
21/03/06,34,18,2
21/04/25,749,25,8
20/12/03,709,47,0
21/02/12,401,28,4
21/03/28,76,39,8
21/05/08,468,61,4
20/08/19,562,78,4
20/06/23,210,59,9
20/06/28,733,47,1
21/04/21,650,50,0
21/02/18,423,55,1
21/02/22,371,63,0
20/11/01,329,35,6
21/03/31,909,39,7
21/05/24,312,56,8
20/06/17,785,20,8
21/05/02,227,71,7
21/03/16,54,35,6
20/08/04,139,49,2
20/10/22,535,50,8
20/12/29,840,73,9
20/11/29,579,26,8
20/10/30,343,30,1
20/08/25,588,22,1
20/06/09,220,26,9
20/08/09,970,69,5
20/07/26,215,76,4
21/02/13,753,73,4
21/04/25,981,54,6
20/05/27,209,19,9
20/06/20,237,48,7
20/10/07,781,57,5
20/07/05,303,55,2
21/04/12,94,31,3
20/06/11,783,36,8
21/04/20,170,64,5
21/03/11,422,40,1
21/04/27,371,63,6
21/05/20,361,64,8
21/03/01,413,55,7
20/12/20,404,59,0
20/09/06,661,75,4
20/12/11,217,78,5
20/12/12,416,76,7
20/11/22,611,36,2
20/08/01,292,21,9
20/12/08,219,29,3
21/05/23,982,36,6
21/03/20,658,35,1
21/01/08,551,72,7
21/05/21,75,36,9
21/01/18,901,62,1
21/04/03,374,49,6
20/10/21,738,71,3
20/05/31,401,28,0
21/02/03,413,55,9
21/02/05,89,50,2
21/03/14,830,64,7
21/03/12,79,77,9
21/04/07,544,62,0
21/05/02,310,31,9
20/10/27,163,31,8
21/04/10,347,49,2
21/04/27,304,52,1
21/05/01,213,36,1
20/08/29,966,34,8
21/01/08,554,19,4
21/04/06,106,20,9
20/10/18,192,64,7
20/12/15,779,26,8
20/09/13,27,58,0
21/05/24,186,43,5
21/01/30,547,24,5
20/07/26,948,35,0
21/04/01,73,73,2
20/08/11,782,27,7
20/06/28,780,57,9
21/04/28,719,76,4
20/08/11,717,23,7
21/04/10,11,38,5
21/03/01,294,42,7
21/04/21,276,67,5
21/04/24,520,26,6
20/09/19,900,36,2
20/12/23,999,53,6
20/05/26,985,30,7
21/01/06,519,70,2
20/12/08,244,66,1
20/07/31,984,29,7
20/10/13,603,35,0
20/06/10,658,35,3
21/03/19,715,72,4
21/04/26,952,78,7
20/06/18,974,25,6
21/04/10,185,37,4
20/06/18,273,42,6
20/11/24,684,75,7
21/04/13,199,62,8
20/12/06,521,22,5
21/02/18,439,36,1
20/10/30,972,36,2
21/05/06,592,33,0
21/01/19,214,63,4
21/05/05,730,77,3
21/04/23,48,50,4
21/04/22,610,40,9
20/06/03,131,77,3
20/12/21,594,26,2
20/06/02,353,33,4
21/04/24,548,70,0
20/08/10,522,20,9
20/09/25,238,79,2
20/09/21,132,41,2
21/03/09,514,69,6
21/04/23,231,22,1
20/05/29,345,47,6
21/05/01,535,50,9
20/09/08,99,77,1
21/03/21,992,57,1
21/03/05,796,36,1
20/10/15,541,18,8
21/04/19,226,75,9
21/05/23,44,35,9
21/02/18,502,78,5
21/03/24,74,72,4
20/07/12,442,22,3
